x,y,z
45,98,0.2535
46,98,0.1597
47,98,0.0614
48,98,-0.0377
49,98,-0.1335
50,98,-0.2222
51,98,-0.3002
52,98,-0.3645
53,98,-0.4124
54,98,-0.4422
55,98,-0.4526
56,98,-0.4432
57,98,-0.4145
58,98,-0.3675
59,98,-0.3044
60,98,-0.2275
61,98,-0.1400
62,98,-0.0454
63,98,0.0524
64,98,0.1494
65,98,0.2419
66,98,0.3259
67,98,0.3982
68,98,0.4557
69,98,0.4961
70,98,0.5177
71,98,0.5197
72,98,0.5018
73,98,0.4647
74,98,0.4099
75,98,0.3394
76,98,0.2561
77,98,0.1632
78,98,0.0643
79,98,-0.0367
80,98,-0.1357
81,98,-0.2289
82,98,-0.3126
83,98,-0.3835
84,98,-0.4388
85,98,-0.4764
86,98,-0.4947
87,98,-0.4931
88,98,-0.4716
89,98,-0.4312
90,98,-0.3735
91,98,-0.3007
92,98,-0.2158
93,98,-0.1223
94,98,-0.0237
95,98,0.0758
96,98,0.1724
97,98,0.2621
98,98,0.3415
99,98,0.4072
0,97,0.0004
1,97,0.0998
2,97,0.1953
3,97,0.2830
4,97,0.3596
5,97,0.4218
6,97,0.4673
7,97,0.4942
8,97,0.5016
9,97,0.4890
10,97,0.4571
11,97,0.4071
12,97,0.3411
13,97,0.2617
14,97,0.1720
15,97,0.0758
16,97,-0.0232
17,97,-0.1209
18,97,-0.2135
19,97,-0.2971
20,97,-0.3684
21,97,-0.4246
22,97,-0.4632
23,97,-0.4828
24,97,-0.4825
25,97,-0.4622
26,97,-0.4227
27,97,-0.3655
28,97,-0.2927
29,97,-0.2073
30,97,-0.1126
31,97,-0.0123
32,97,0.0898
33,97,0.1896
34,97,0.2832
35,97,0.3669
36,97,0.4376
37,97,0.4924
38,97,0.5292
39,97,0.5466
40,97,0.5440
41,97,0.5216
42,97,0.4803
43,97,0.4219
44,97,0.3486
45,97,0.2634
46,97,0.1698
47,97,0.0716
48,97,-0.0274
49,97,-0.1231
50,97,-0.2117
51,97,-0.2898
52,97,-0.3541
53,97,-0.4022
54,97,-0.4321
55,97,-0.4426
56,97,-0.4335
57,97,-0.4050
58,97,-0.3584
59,97,-0.2955
60,97,-0.2189
61,97,-0.1318
62,97,-0.0376
63,97,0.0598
64,97,0.1565
65,97,0.2485
66,97,0.3322
67,97,0.4040
68,97,0.4611
69,97,0.5011
70,97,0.5224
71,97,0.5240
72,97,0.5057
73,97,0.4683
74,97,0.4132
75,97,0.3424
76,97,0.2588
77,97,0.1656
78,97,0.0664
79,97,-0.0347
80,97,-0.1340
81,97,-0.2274
82,97,-0.3113
83,97,-0.3823
84,97,-0.4378
85,97,-0.4755
86,97,-0.4939
87,97,-0.4924
88,97,-0.4711
89,97,-0.4307
90,97,-0.3730
91,97,-0.3003
92,97,-0.2155
93,97,-0.1220
94,97,-0.0235
95,97,0.0760
96,97,0.1725
97,97,0.2623
98,97,0.3416
99,97,0.4073
0,96,0.0005
1,96,0.0999
2,96,0.1954
3,96,0.2832
4,96,0.3597
5,96,0.4220
6,96,0.4675
7,96,0.4945
8,96,0.5019
9,96,0.4894
10,96,0.4576
11,96,0.4077
12,96,0.3418
13,96,0.2624
14,96,0.1729
15,96,0.0768
16,96,-0.0220
17,96,-0.1195
18,96,-0.2119
19,96,-0.2953
20,96,-0.3664
21,96,-0.4223
22,96,-0.4607
23,96,-0.4799
24,96,-0.4793
25,96,-0.4587
26,96,-0.4188
27,96,-0.3612
28,96,-0.2881
29,96,-0.2022
30,96,-0.1071
31,96,-0.0063
32,96,0.0963
33,96,0.1965
34,96,0.2906
35,96,0.3748
36,96,0.4459
37,96,0.5011
38,96,0.5384
39,96,0.5563
40,96,0.5541
41,96,0.5321
42,96,0.4912
43,96,0.4330
44,96,0.3600
45,96,0.2751
46,96,0.1818
47,96,0.0837
48,96,-0.0151
49,96,-0.1108
50,96,-0.1994
51,96,-0.2775
52,96,-0.3419
53,96,-0.3901
54,96,-0.4201
55,96,-0.4309
56,96,-0.4220
57,96,-0.3938
58,96,-0.3475
59,96,-0.2850
60,96,-0.2088
61,96,-0.1221
62,96,-0.0284
63,96,0.0686
64,96,0.1648
65,96,0.2564
66,96,0.3396
67,96,0.4109
68,96,0.4676
69,96,0.5071
70,96,0.5279
71,96,0.5291
72,96,0.5104
73,96,0.4726
74,96,0.4171
75,96,0.3459
76,96,0.2620
77,96,0.1685
78,96,0.0690
79,96,-0.0324
80,96,-0.1319
81,96,-0.2256
82,96,-0.3097
83,96,-0.3810
84,96,-0.4366
85,96,-0.4744
86,96,-0.4930
87,96,-0.4916
88,96,-0.4704
89,96,-0.4301
90,96,-0.3725
91,96,-0.2999
92,96,-0.2152
93,96,-0.1217
94,96,-0.0233
95,96,0.0762
96,96,0.1727
97,96,0.2624
98,96,0.3417
99,96,0.4074
0,95,0.0006
1,95,0.1001
2,95,0.1956
3,95,0.2834
4,95,0.3599
5,95,0.4223
6,95,0.4678
7,95,0.4949
8,95,0.5023
9,95,0.4899
10,95,0.4582
11,95,0.4084
12,95,0.3426
13,95,0.2634
14,95,0.1740
15,95,0.0781
16,95,-0.0206
17,95,-0.1179
18,95,-0.2100
19,95,-0.2932
20,95,-0.3640
21,95,-0.4196
22,95,-0.4576
23,95,-0.4766
24,95,-0.4755
25,95,-0.4545
26,95,-0.4142
27,95,-0.3561
28,95,-0.2825
29,95,-0.1962
30,95,-0.1006
31,95,0.0008
32,95,0.1038
33,95,0.2046
34,95,0.2993
35,95,0.3840
36,95,0.4557
37,95,0.5115
38,95,0.5493
39,95,0.5677
40,95,0.5660
41,95,0.5444
42,95,0.5039
43,95,0.4462
44,95,0.3735
45,95,0.2889
46,95,0.1958
47,95,0.0979
48,95,-0.0007
49,95,-0.0963
50,95,-0.1849
51,95,-0.2630
52,95,-0.3275
53,95,-0.3758
54,95,-0.4061
55,95,-0.4171
56,95,-0.4085
57,95,-0.3807
58,95,-0.3348
59,95,-0.2727
60,95,-0.1970
61,95,-0.1107
62,95,-0.0175
63,95,0.0789
64,95,0.1746
65,95,0.2656
66,95,0.3482
67,95,0.4191
68,95,0.4751
69,95,0.5142
70,95,0.5344
71,95,0.5351
72,95,0.5159
73,95,0.4776
74,95,0.4217
75,95,0.3501
76,95,0.2657
77,95,0.1718
78,95,0.0720
79,95,-0.0298
80,95,-0.1296
81,95,-0.2235
82,95,-0.3078
83,95,-0.3793
84,95,-0.4352
85,95,-0.4732
86,95,-0.4919
87,95,-0.4907
88,95,-0.4696
89,95,-0.4294
90,95,-0.3719
91,95,-0.2994
92,95,-0.2147
93,95,-0.1213
94,95,-0.0230
95,95,0.0765
96,95,0.1729
97,95,0.2626
98,95,0.3419
99,95,0.4076
0,94,0.0007
1,94,0.1002
2,94,0.1957
3,94,0.2836
4,94,0.3602
5,94,0.4225
6,94,0.4682
7,94,0.4953
8,94,0.5028
9,94,0.4905
10,94,0.4589
11,94,0.4092
12,94,0.3435
13,94,0.2645
14,94,0.1753
15,94,0.0795
16,94,-0.0189
17,94,-0.1160
18,94,-0.2078
19,94,-0.2907
20,94,-0.3612
21,94,-0.4164
22,94,-0.4541
23,94,-0.4726
24,94,-0.4712
25,94,-0.4496
26,94,-0.4088
27,94,-0.3502
28,94,-0.2761
29,94,-0.1892
30,94,-0.0929
31,94,0.0090
32,94,0.1127
33,94,0.2142
34,94,0.3094
35,94,0.3949
36,94,0.4672
37,94,0.5236
38,94,0.5620
39,94,0.5810
40,94,0.5799
41,94,0.5589
42,94,0.5189
43,94,0.4616
44,94,0.3893
45,94,0.3051
46,94,0.2123
47,94,0.1146
48,94,0.0161
49,94,-0.0794
50,94,-0.1679
51,94,-0.2461
52,94,-0.3107
53,94,-0.3592
54,94,-0.3897
55,94,-0.4010
56,94,-0.3927
57,94,-0.3653
58,94,-0.3198
59,94,-0.2582
60,94,-0.1831
61,94,-0.0974
62,94,-0.0048
63,94,0.0910
64,94,0.1861
65,94,0.2765
66,94,0.3584
67,94,0.4286
68,94,0.4840
69,94,0.5224
70,94,0.5421
71,94,0.5421
72,94,0.5224
73,94,0.4835
74,94,0.4270
75,94,0.3550
76,94,0.2701
77,94,0.1758
78,94,0.0756
79,94,-0.0266
80,94,-0.1267
81,94,-0.2210
82,94,-0.3056
83,94,-0.3774
84,94,-0.4335
85,94,-0.4717
86,94,-0.4907
87,94,-0.4896
88,94,-0.4686
89,94,-0.4286
90,94,-0.3713
91,94,-0.2988
92,94,-0.2142
93,94,-0.1209
94,94,-0.0226
95,94,0.0768
96,94,0.1732
97,94,0.2628
98,94,0.3420
99,94,0.4077
0,93,0.0008
1,93,0.1004
2,93,0.1959
3,93,0.2838
4,93,0.3605
5,93,0.4229
6,93,0.4686
7,93,0.4958
8,93,0.5034
9,93,0.4912
10,93,0.4597
11,93,0.4102
12,93,0.3446
13,93,0.2658
14,93,0.1768
15,93,0.0812
16,93,-0.0169
17,93,-0.1137
18,93,-0.2053
19,93,-0.2878
20,93,-0.3579
21,93,-0.4127
22,93,-0.4500
23,93,-0.4680
24,93,-0.4660
25,93,-0.4440
26,93,-0.4026
27,93,-0.3434
28,93,-0.2686
29,93,-0.1810
30,93,-0.0841
31,93,0.0186
32,93,0.1231
33,93,0.2253
34,93,0.3213
35,93,0.4075
36,93,0.4805
37,93,0.5377
38,93,0.5768
39,93,0.5965
40,93,0.5961
41,93,0.5757
42,93,0.5363
43,93,0.4795
44,93,0.4077
45,93,0.3239
46,93,0.2314
47,93,0.1340
48,93,0.0357
49,93,-0.0596
50,93,-0.1481
51,93,-0.2263
52,93,-0.2910
53,93,-0.3397
54,93,-0.3705
55,93,-0.3822
56,93,-0.3743
57,93,-0.3474
58,93,-0.3024
59,93,-0.2414
60,93,-0.1669
61,93,-0.0819
62,93,0.0101
63,93,0.1052
64,93,0.1995
65,93,0.2891
66,93,0.3703
67,93,0.4397
68,93,0.4944
69,93,0.5320
70,93,0.5510
71,93,0.5503
72,93,0.5299
73,93,0.4904
74,93,0.4333
75,93,0.3606
76,93,0.2752
77,93,0.1804
78,93,0.0797
79,93,-0.0229
80,93,-0.1235
81,93,-0.2181
82,93,-0.3031
83,93,-0.3751
84,93,-0.4315
85,93,-0.4700
86,93,-0.4892
87,93,-0.4883
88,93,-0.4675
89,93,-0.4277
90,93,-0.3704
91,93,-0.2981
92,93,-0.2136
93,93,-0.1204
94,93,-0.0222
95,93,0.0771
96,93,0.1735
97,93,0.2630
98,93,0.3422
99,93,0.4079
0,92,0.0010
1,92,0.1005
2,92,0.1962
3,92,0.2841
4,92,0.3608
5,92,0.4233
6,92,0.4691
7,92,0.4964
8,92,0.5041
9,92,0.4920
10,92,0.4606
11,92,0.4113
12,92,0.3459
13,92,0.2672
14,92,0.1785
15,92,0.0832
16,92,-0.0146
17,92,-0.1111
18,92,-0.2023
19,92,-0.2844
20,92,-0.3541
21,92,-0.4085
22,92,-0.4452
23,92,-0.4627
24,92,-0.4601
25,92,-0.4374
26,92,-0.3953
27,92,-0.3354
28,92,-0.2599
29,92,-0.1715
30,92,-0.0737
31,92,0.0298
32,92,0.1351
33,92,0.2381
34,92,0.3350
35,92,0.4221
36,92,0.4960
37,92,0.5541
38,92,0.5940
39,92,0.6145
40,92,0.6149
41,92,0.5952
42,92,0.5565
43,92,0.5003
44,92,0.4291
45,92,0.3457
46,92,0.2536
47,92,0.1566
48,92,0.0585
49,92,-0.0367
50,92,-0.1252
51,92,-0.2034
52,92,-0.2683
53,92,-0.3172
54,92,-0.3483
55,92,-0.3603
56,92,-0.3530
57,92,-0.3266
58,92,-0.2822
59,92,-0.2219
60,92,-0.1481
61,92,-0.0639
62,92,0.0273
63,92,0.1215
64,92,0.2150
65,92,0.3037
66,92,0.3840
67,92,0.4526
68,92,0.5064
69,92,0.5432
70,92,0.5613
71,92,0.5598
72,92,0.5386
73,92,0.4984
74,92,0.4405
75,92,0.3672
76,92,0.2812
77,92,0.1857
78,92,0.0845
79,92,-0.0186
80,92,-0.1197
81,92,-0.2147
82,92,-0.3001
83,92,-0.3725
84,92,-0.4292
85,92,-0.4680
86,92,-0.4875
87,92,-0.4868
88,92,-0.4662
89,92,-0.4266
90,92,-0.3695
91,92,-0.2973
92,92,-0.2130
93,92,-0.1198
94,92,-0.0217
95,92,0.0775
96,92,0.1738
97,92,0.2633
98,92,0.3424
99,92,0.4080
0,91,0.0012
1,91,0.1008
2,91,0.1964
3,91,0.2844
4,91,0.3612
5,91,0.4238
6,91,0.4696
7,91,0.4970
8,91,0.5049
9,91,0.4929
10,91,0.4617
11,91,0.4125
12,91,0.3474
13,91,0.2690
14,91,0.1805
15,91,0.0855
16,91,-0.0120
17,91,-0.1081
18,91,-0.1989
19,91,-0.2806
20,91,-0.3498
21,91,-0.4035
22,91,-0.4397
23,91,-0.4565
24,91,-0.4532
25,91,-0.4298
26,91,-0.3870
27,91,-0.3262
28,91,-0.2498
29,91,-0.1606
30,91,-0.0618
31,91,0.0427
32,91,0.1489
33,91,0.2530
34,91,0.3509
35,91,0.4390
36,91,0.5140
37,91,0.5730
38,91,0.6139
39,91,0.6353
40,91,0.6366
41,91,0.6178
42,91,0.5798
43,91,0.5243
44,91,0.4537
45,91,0.3709
46,91,0.2793
47,91,0.1826
48,91,0.0848
49,91,-0.0103
50,91,-0.0987
51,91,-0.1770
52,91,-0.2420
53,91,-0.2912
54,91,-0.3226
55,91,-0.3351
56,91,-0.3283
57,91,-0.3025
58,91,-0.2589
59,91,-0.1994
60,91,-0.1264
61,91,-0.0430
62,91,0.0472
63,91,0.1404
64,91,0.2329
65,91,0.3206
66,91,0.3999
67,91,0.4674
68,91,0.5202
69,91,0.5560
70,91,0.5732
71,91,0.5708
72,91,0.5487
73,91,0.5076
74,91,0.4489
75,91,0.3748
76,91,0.2880
77,91,0.1919
78,91,0.0900
79,91,-0.0137
80,91,-0.1153
81,91,-0.2109
82,91,-0.2967
83,91,-0.3695
84,91,-0.4266
85,91,-0.4657
86,91,-0.4855
87,91,-0.4851
88,91,-0.4648
89,91,-0.4253
90,91,-0.3684
91,91,-0.2964
92,91,-0.2122
93,91,-0.1192
94,91,-0.0212
95,91,0.0780
96,91,0.1742
97,91,0.2636
98,91,0.3427
99,91,0.4083
0,90,0.0014
1,90,0.1010
2,90,0.1967
3,90,0.2848
4,90,0.3616
5,90,0.4243
6,90,0.4703
7,90,0.4978
8,90,0.5058
9,90,0.4940
10,90,0.4630
11,90,0.4140
12,90,0.3491
13,90,0.2709
14,90,0.1828
15,90,0.0881
16,90,-0.0090
17,90,-0.1047
18,90,-0.1950
19,90,-0.2761
20,90,-0.3447
21,90,-0.3979
22,90,-0.4333
23,90,-0.4494
24,90,-0.4454
25,90,-0.4211
26,90,-0.3773
27,90,-0.3156
28,90,-0.2382
29,90,-0.1479
30,90,-0.0481
31,90,0.0575
32,90,0.1649
33,90,0.2701
34,90,0.3692
35,90,0.4584
36,90,0.5345
37,90,0.5947
38,90,0.6368
39,90,0.6593
40,90,0.6615
41,90,0.6437
42,90,0.6066
43,90,0.5520
44,90,0.4821
45,90,0.3999
46,90,0.3088
47,90,0.2126
48,90,0.1150
49,90,0.0202
50,90,-0.0682
51,90,-0.1465
52,90,-0.2117
53,90,-0.2612
54,90,-0.2931
55,90,-0.3061
56,90,-0.2999
57,90,-0.2749
58,90,-0.2321
59,90,-0.1734
60,90,-0.1014
61,90,-0.0191
62,90,0.0700
63,90,0.1622
64,90,0.2535
65,90,0.3400
66,90,0.4182
67,90,0.4845
68,90,0.5362
69,90,0.5709
70,90,0.5869
71,90,0.5834
72,90,0.5602
73,90,0.5181
74,90,0.4585
75,90,0.3835
76,90,0.2959
77,90,0.1990
78,90,0.0964
79,90,-0.0080
80,90,-0.1103
81,90,-0.2064
82,90,-0.2928
83,90,-0.3661
84,90,-0.4236
85,90,-0.4631
86,90,-0.4832
87,90,-0.4831
88,90,-0.4631
89,90,-0.4239
90,90,-0.3672
91,90,-0.2954
92,90,-0.2113
93,90,-0.1184
94,90,-0.0205
95,90,0.0785
96,90,0.1746
97,90,0.2640
98,90,0.3430
99,90,0.4085
0,89,0.0016
1,89,0.1013
2,89,0.1971
3,89,0.2852
4,89,0.3621
5,89,0.4249
6,89,0.4710
7,89,0.4986
8,89,0.5068
9,89,0.4952
10,89,0.4644
11,89,0.4156
12,89,0.3510
13,89,0.2732
14,89,0.1854
15,89,0.0912
16,89,-0.0055
17,89,-0.1007
18,89,-0.1905
19,89,-0.2710
20,89,-0.3389
21,89,-0.3914
22,89,-0.4260
23,89,-0.4413
24,89,-0.4363
25,89,-0.4111
26,89,-0.3663
27,89,-0.3035
28,89,-0.2250
29,89,-0.1335
30,89,-0.0325
31,89,0.0744
32,89,0.1831
33,89,0.2897
34,89,0.3901
35,89,0.4807
36,89,0.5581
37,89,0.6196
38,89,0.6629
39,89,0.6867
40,89,0.6901
41,89,0.6734
42,89,0.6373
43,89,0.5836
44,89,0.5146
45,89,0.4331
46,89,0.3426
47,89,0.2468
48,89,0.1496
49,89,0.0550
50,89,-0.0333
51,89,-0.1117
52,89,-0.1771
53,89,-0.2269
54,89,-0.2593
55,89,-0.2729
56,89,-0.2675
57,89,-0.2433
58,89,-0.2014
59,89,-0.1438
60,89,-0.0729
61,89,0.0083
62,89,0.0962
63,89,0.1870
64,89,0.2770
65,89,0.3623
66,89,0.4391
67,89,0.5041
68,89,0.5544
69,89,0.5878
70,89,0.6026
71,89,0.5978
72,89,0.5735
73,89,0.5303
74,89,0.4696
75,89,0.3935
76,89,0.3050
77,89,0.2071
78,89,0.1036
79,89,-0.0016
80,89,-0.1045
81,89,-0.2013
82,89,-0.2883
83,89,-0.3621
84,89,-0.4201
85,89,-0.4601
86,89,-0.4806
87,89,-0.4809
88,89,-0.4611
89,89,-0.4222
90,89,-0.3658
91,89,-0.2941
92,89,-0.2103
93,89,-0.1176
94,89,-0.0198
95,89,0.0791
96,89,0.1751
97,89,0.2644
98,89,0.3434
99,89,0.4088
0,88,0.0019
1,88,0.1016
2,88,0.1975
3,88,0.2857
4,88,0.3627
5,88,0.4256
6,88,0.4718
7,88,0.4996
8,88,0.5080
9,88,0.4966
10,88,0.4660
11,88,0.4175
12,88,0.3532
13,88,0.2758
14,88,0.1883
15,88,0.0946
16,88,-0.0016
17,88,-0.0962
18,88,-0.1853
19,88,-0.2652
20,88,-0.3324
21,88,-0.3840
22,88,-0.4178
23,88,-0.4321
24,88,-0.4260
25,88,-0.3997
26,88,-0.3537
27,88,-0.2897
28,88,-0.2099
29,88,-0.1170
30,88,-0.0146
31,88,0.0937
32,88,0.2039
33,88,0.3120
34,88,0.4139
35,88,0.5060
36,88,0.5850
37,88,0.6479
38,88,0.6927
39,88,0.7179
40,88,0.7226
41,88,0.7072
42,88,0.6723
43,88,0.6196
44,88,0.5516
45,88,0.4709
46,88,0.3811
47,88,0.2859
48,88,0.1891
49,88,0.0946
50,88,0.0064
51,88,-0.0721
52,88,-0.1377
53,88,-0.1879
54,88,-0.2208
55,88,-0.2351
56,88,-0.2305
57,88,-0.2072
58,88,-0.1664
59,88,-0.1100
60,88,-0.0403
61,88,0.0395
62,88,0.1260
63,88,0.2154
64,88,0.3039
65,88,0.3876
66,88,0.4629
67,88,0.5264
68,88,0.5752
69,88,0.6071
70,88,0.6204
71,88,0.6143
72,88,0.5886
73,88,0.5441
74,88,0.4821
75,88,0.4049
76,88,0.3152
77,88,0.2164
78,88,0.1119
79,88,0.0058
80,88,-0.0979
81,88,-0.1955
82,88,-0.2831
83,88,-0.3576
84,88,-0.4162
85,88,-0.4567
86,88,-0.4776
87,88,-0.4783
88,88,-0.4589
89,88,-0.4203
90,88,-0.3641
91,88,-0.2928
92,88,-0.2091
93,88,-0.1166
94,88,-0.0190
95,88,0.0798
96,88,0.1757
97,88,0.2649
98,88,0.3438
99,88,0.4091
0,87,0.0022
1,87,0.1020
2,87,0.1979
3,87,0.2862
4,87,0.3634
5,87,0.4264
6,87,0.4728
7,87,0.5007
8,87,0.5093
9,87,0.4981
10,87,0.4678
11,87,0.4197
12,87,0.3557
13,87,0.2787
14,87,0.1917
15,87,0.0985
16,87,0.0029
17,87,-0.0911
18,87,-0.1795
19,87,-0.2586
20,87,-0.3249
21,87,-0.3756
22,87,-0.4084
23,87,-0.4216
24,87,-0.4144
25,87,-0.3868
26,87,-0.3395
27,87,-0.2741
28,87,-0.1928
29,87,-0.0984
30,87,0.0056
31,87,0.1156
32,87,0.2275
33,87,0.3373
34,87,0.4409
35,87,0.5348
36,87,0.6154
37,87,0.6801
38,87,0.7265
39,87,0.7532
40,87,0.7595
41,87,0.7455
42,87,0.7119
43,87,0.6605
44,87,0.5935
45,87,0.5138
46,87,0.4248
47,87,0.3301
48,87,0.2338
49,87,0.1396
50,87,0.0515
51,87,-0.0271
52,87,-0.0930
53,87,-0.1437
54,87,-0.1772
55,87,-0.1923
56,87,-0.1886
57,87,-0.1664
58,87,-0.1268
59,87,-0.0716
60,87,-0.0034
61,87,0.0748
62,87,0.1597
63,87,0.2475
64,87,0.3343
65,87,0.4164
66,87,0.4899
67,87,0.5517
68,87,0.5988
69,87,0.6290
70,87,0.6407
71,87,0.6329
72,87,0.6057
73,87,0.5597
74,87,0.4964
75,87,0.4178
76,87,0.3269
77,87,0.2268
78,87,0.1213
79,87,0.0142
80,87,-0.0905
81,87,-0.1889
82,87,-0.2773
83,87,-0.3525
84,87,-0.4117
85,87,-0.4528
86,87,-0.4742
87,87,-0.4754
88,87,-0.4564
89,87,-0.4182
90,87,-0.3623
91,87,-0.2912
92,87,-0.2078
93,87,-0.1155
94,87,-0.0180
95,87,0.0806
96,87,0.1764
97,87,0.2654
98,87,0.3442
99,87,0.4095
0,86,0.0025
1,86,0.1024
2,86,0.1984
3,86,0.2868
4,86,0.3641
5,86,0.4273
6,86,0.4738
7,86,0.5020
8,86,0.5108
9,86,0.4999
10,86,0.4699
11,86,0.4221
12,86,0.3586
13,86,0.2820
14,86,0.1955
15,86,0.1029
16,86,0.0079
17,86,-0.0854
18,86,-0.1730
19,86,-0.2512
20,86,-0.3165
21,86,-0.3662
22,86,-0.3978
23,86,-0.4097
24,86,-0.4012
25,86,-0.3722
26,86,-0.3234
27,86,-0.2564
28,86,-0.1734
29,86,-0.0773
30,86,0.0285
31,86,0.1403
32,86,0.2541
33,86,0.3658
34,86,0.4714
35,86,0.5672
36,86,0.6498
37,86,0.7163
38,86,0.7646
39,86,0.7932
40,86,0.8012
41,86,0.7887
42,86,0.7567
43,86,0.7066
44,86,0.6408
45,86,0.5622
46,86,0.4740
47,86,0.3801
48,86,0.2842
49,86,0.1904
50,86,0.1023
51,86,0.0237
52,86,-0.0425
53,86,-0.0937
54,86,-0.1279
55,86,-0.1439
56,86,-0.1412
57,86,-0.1203
58,86,-0.0820
59,86,-0.0284
60,86,0.0382
61,86,0.1148
62,86,0.1979
63,86,0.2838
64,86,0.3687
65,86,0.4488
66,86,0.5204
67,86,0.5802
68,86,0.6254
69,86,0.6537
70,86,0.6635
71,86,0.6540
72,86,0.6250
73,86,0.5774
74,86,0.5124
75,86,0.4324
76,86,0.3401
77,86,0.2387
78,86,0.1319
79,86,0.0237
80,86,-0.0821
81,86,-0.1814
82,86,-0.2708
83,86,-0.3468
84,86,-0.4067
85,86,-0.4484
86,86,-0.4704
87,86,-0.4721
88,86,-0.4536
89,86,-0.4157
90,86,-0.3602
91,86,-0.2894
92,86,-0.2063
93,86,-0.1142
94,86,-0.0170
95,86,0.0815
96,86,0.1771
97,86,0.2660
98,86,0.3447
99,86,0.4099
0,85,0.0029
1,85,0.1029
2,85,0.1990
3,85,0.2875
4,85,0.3649
5,85,0.4283
6,85,0.4750
7,85,0.5034
8,85,0.5125
9,85,0.5019
10,85,0.4722
11,85,0.4248
12,85,0.3618
13,85,0.2857
14,85,0.1998
15,85,0.1078
16,85,0.0136
17,85,-0.0789
18,85,-0.1656
19,85,-0.2428
20,85,-0.3071
21,85,-0.3555
22,85,-0.3859
23,85,-0.3964
24,85,-0.3865
25,85,-0.3558
26,85,-0.3054
27,85,-0.2366
28,85,-0.1517
29,85,-0.0537
30,85,0.0542
31,85,0.1681
32,85,0.2840
33,85,0.3978
34,85,0.5056
35,85,0.6036
36,85,0.6884
37,85,0.7571
38,85,0.8075
39,85,0.8380
40,85,0.8479
41,85,0.8373
42,85,0.8069
43,85,0.7584
44,85,0.6940
45,85,0.6165
46,85,0.5293
47,85,0.4362
48,85,0.3409
49,85,0.2474
50,85,0.1595
51,85,0.0807
52,85,0.0141
53,85,-0.0376
54,85,-0.0726
55,85,-0.0896
56,85,-0.0881
57,85,-0.0685
58,85,-0.0318
59,85,0.0202
60,85,0.0850
61,85,0.1596
62,85,0.2407
63,85,0.3245
64,85,0.4073
65,85,0.4852
66,85,0.5546
67,85,0.6122
68,85,0.6553
69,85,0.6814
70,85,0.6892
71,85,0.6776
72,85,0.6467
73,85,0.5972
74,85,0.5305
75,85,0.4488
76,85,0.3548
77,85,0.2520
78,85,0.1438
79,85,0.0343
80,85,-0.0726
81,85,-0.1731
82,85,-0.2634
